No, General Knowledge ,GK 1,GK 2,GK 3,Geography,GEO 1,GEO 2,GRO 3,Science,SCI 1,SCI 2,SCI 3,History,HIS 1,HIS 2,HIS 3,Maths,MATH 1,MATH 2,MATH 3,English,EN 1,EN 2,EN 3
75,A salmon is a type of bird  fish or plant?,[Fish],X,X,In what city is the Eiffel Tower located?,Barcelona,[Paris],Rome,What are animals that eat both plants and other animals called?,[Omnivores],Decomposers,Predators,On July 16th 1916 which battle in  World War I started? ,Battle of Munich,Battle of Berlin,[Battle of the Somme],James runs one lap of the hurling pitch in 4 mins. How long will it take him to run 3 laps?,[12 mins],5 Mins,30 Mins,"What is the plural of ""Pony""",[Ponies],X,X
76,A cod is a type of bird  fish or plant?,[Fish],X,X,In what city is the spire located?,Cork,[Dublin],Belfast,What are animals that are hunted for food called?,[Prey],Consumer,Predator,What year did the first Crusade begin?,882,991,[1096],Put these numbers in order starting with the lowest 78  155  29,[29  78  155],X,X,"What is the plural of ""Party""",[Parties],X,X
77,A tulip is a type of tree  flower or shrub?,[Flower],X,X,In what county in Ireland is Letterkenny located? ,Waterford,[Donegal] ,Cavan,Can leaves be composted? Yes or No,[Yes],X,X,The Wright Brothers invented the Aeroplane in what year?,1796,[1903],1921,What is the smallest number of the following  three numbers: 2   22   42,[2],22,42,"What is the plural of ""Puppy""",[Puppies],X,X
78,For what county does Noel McGrath play hurling?,[Tipperary],Cork,Clare,In what city is the Liberty Bell located?,New York,[Philadelphia],London,Is the femur bone found in the arm or the leg?,[Leg],Arm,X,In what year was Enda Kenny first elected Taoiseach of Ireland?,2008,[2011],2012,What is the smallest number of the following  three numbers: 19   49   99,[19],49,99,"What is the plural of ""Story""",[Stories],X,X
79,A bat is a type of bird. True or False?,[FALSE],X,X,In what county in Ireland is Clones located? ,Cork,[Monaghan],Wicklow,Reptiles are warm blooded animals. True or False,[FALSE],X,X,In what year did Queen Victoria die?,1999,[1901],1954,What is the smallest number of the following  three numbers: 219   21   41,[21],41,219,"What is the plural of ""City""",[Cities],X,X
80,A mackerel is a type of bird  fish or plant?,[Fish],X,X,What is the name of the river that flows through Rome?,The Thames,[The Tiber],The Tigris,The retina is part of the eye. True or False,[TRUE],X,X,Who was the youngest Taoiseach to be elected in Ireland,Enda Kenny,[Leo Varadkar],Brian Cowen,What is the smallest number of the following  three numbers: 89   18   48,[18],89,48,"What is the plural of ""County""",[Counties],X,X
81,An Ash is a type of tree  flower or shrub ?,[Tree],X,X,What is the name of the river that flows through New York?,The Danube,[The Hudson],The Lagan,Does a proton have a positive or a negative charge?,Negative,[Positive],X,Who was president of America during World War I?,Nixon,[Woodrow  Wilson],Regan,What is the smallest number of the following  three numbers: 69   29  39,[29],69,39,Find the verb in: Tom ran all the way home.,[Ran],X,X
82,On what TV shows is Simon Cowell a judge?,[X Factor & Britain's Got Talent],X,X,What is the name of the river that flows through Paris?,The Rhine,[The Seine],The Shannon,How many teeth should an adult have including their wisdom teeth?,24,[32],22,For which subject did Albert Einstein win the Nobel Prize in 1921? ,Chemistry,[Physics],Biology,What is the smallest number of the following  three numbers: 49   59   39,[39],49,59,Find the verb in:  The boy laughed at his brother.,[Laughed],X,X
83,What language is spoken in Germany?,English,Spanish,[German],What is the name of the river that flows through Amsterdam?,The Colorado,[The Amstel],The Piedad,What is the name of the organ that we use to breathe in oxygen?,The kidneys,[The lungs],The heart,In 1922 the discovery of the tomb of which Pharaoh occurred in Egypt?,Cleopatra,[Tutenkarmun],Moses,What is the smallest number of the following  three numbers: 47   67   17,[17],47,67,Find the verb in:  The daddy drank a big glass of milk.,[Drank],X,X
84,What language is spoken in Greece?,Latin,French,[Greek],What is the longest river on the earth?,[Nile],Thames,Mississippi,What is the name of the finger next to the thumb?,Ring,[Index],Knuckle,In 1924 which Russian leader died?,Stalin,[Lenin],Mussolini,What is the smallest number of the following  three numbers: 4   14   44,[4],14,44,Find the verb in:  Two sisters screamed very loudly.,[Screamed],X,X
85,What is the name of Fred Flintstone's best friend? ,Fred Pebble,Jimmy Stone,[Barney Rubble],What is the name of the biggest rain forest in the world?,[Amazon],Congo,Raintree,What is the process for keeping things warm known as?,Isolation,[Insulation],Freezing,In what year did The Wall Street crash occur?,1941,[1929],1919,What is the smallest number of the following  three numbers: 121   13   33,[13],121,33,Find the verb in:  Mary cycled to the shop.,[Cycled],X,X
86,"Name a planet beginning with the letter ""N""",[Neptune],X,X,What instrument is used for measuring wind speed?,[Anemometer],Barometer,Thermometer,What is a material that breaks down over time known as?,Fossil Fuel,[Biodegradable],Mineral,In what year did the battle of Dunkirk occur?,1961,[1940],1963,What is the smallest number of the following  three numbers: 109   89   99,[89],99,109,Find the verb in:  Jane wrote a letter to her grandmother.,[Wrote],X,X
87,"Name a planet beginning with the letter ""V""",[Venus],X,X,What is the smallest continent in the world?,[Australia],Europe,Africa,What makes up 80% of our brains?,Blood Vessels,[Water],Ligaments,What is the name given to the Normandy landings that occurred in 1944?,B-Day,[D-Day],C-Day,10 + 2 = 14 - 2    True or False?,[TRUE],X,X,Find the verb in:  Uncle Joe snores very loudly.,[Snores],X,X
88,"Name a planet beginning with the letter ""J""",[Jupiter],X,X,What is the name of the highest mountain in Africa?,[Mount Kilimanjaro],Mount Everest,Makalu,In the adult human body which is longer  the small intestine or the large intestine?,[The small intestine],X,X,In what year was the Atomic Bomb dropped on Hiroshima?,1911,[1945],1901,19 + 6 = 27 - 1    True or False?,[FALSE],X,X,Find the verb in:  The crab crawled under the rock.,[Crawled],X,X
89,"Name a planet beginning with the letter ""E""",[Earth],X,X,What is the largest island in the Mediterranean sea?,[Sicily],Crete,Corsica,Where is the smallest bone in your body?,In your nose,[In your ears],In your toes,In what year did the Global Financial Crisis occur?,2005,[2007],2010,14 + 4 = 22 - 4    True or False?,[TRUE],X,X,Find the verb in:  The horse jumped over the fence.,[Jumped],X,X
90,What is the name of the main shopping street in London city?,Downing Street,Buckingham Street,[Oxford Street],What is the largest Scandinavian country?,[Sweden],Norway,Finland,Where is the largest bone in your body?,In your arm,[In your leg],In your back,In 1970 which French leader died?,General De Nalle,[General Charles de Gaulle],General De Gonn,21 + 4 = 30 - 5    True or False?,[TRUE],X,X,Find the verb in:  I licked the ice cream.,[Licked],X,X
91,What is the name of the main street in Limerick city?,Moore Street,Talbot Street,[O' Connell Street],Which continent does India belong to?,[Asia],Europe,North America,What part of the eye protects us from getting dust or dirt in our eyes,Iris,[Eyelashes],Retina,In 1979 who became Prime Minister of Britain?,Tony Blair,[Margaret Thatcher],John Major,11 + 3 = 16 - 5    True or False?,[FALSE],X,X,Find the verb in:  Mum washed my face.,[Washed],X,X
92,For what county does Joe Canning play hurling?,Dublin,Cork,[Galway],Which ocean separates North America from Europe?,[Atlantic ocean],Pacific Ocean,Indian Ocean,How many ribs are there in the human body?,16,[24],12,In 1982 the Falklands War broke out between which two countries?,[Argentina and Britain],America and Cuba,America and Mexico,11 + 6 = 24 - 7    True or False?,[TRUE],X,X,Find the verb in:  Dad cleaned the kitchen.,[Cleaned],X,X
93,A poodle is a type of tree  dog or fish?,[Dog],X,X,Stratus and cumulus are types of what?,[Clouds],Rivers,Lakes,What is the preliminary version of a design known as?,Packaging,[Prototype],Branding,In 1986 the explosion of a Nuclear Reactor occurred in which Russian city?,[Chernobyl],Moscow,Leningrad,5 + 4 = 20 - 10    True or False?,[FALSE],X,X,Find the verb in:  Uncle Joe cut the grass.,[Cut],X,X
94,A Springer Spaniel is a type of horse  dog or plant?,[Dog],X,X,What is the capital city of Finland? ,[Helsinki],Oslo,Geneva,Which eye colour  is most prevalent in humans?,Blue,[Brown],Green,In what year was the Good Friday Agreement for Northern Ireland signed?,[1998],1991,1989,9 +2 = 14-3    True or False?,[TRUE],X,X,Find the verb in:  Auntie Nora watered the plant.,[Watered],X,X
95,"The ""Titanic"" is a name of a famous what?",Boxer,[Ship],Racing Car,What is the capital of Norway? ,[Oslo],Copenhagen,Stockholm,Are more people in the world left handed or right handed?,[Right handed],X,X,What Italian leader came to power in 1923?,[Mussolini],Lenin,Stalin,17 + 6 = 25 - 2    True or False?,[TRUE],X,X,Find the verb in:  John dug a big hole.,[Dug],X,X
96,On the 24 hour clock what time is 9pm,[21.00hrs],20.00hrs,19.00hrs,What is the modern name for Constantinople?,[Istanbul],Athens,Rome,What is the smallest planet in the solar system?,Neptune,[Mercury] ,Venus,When the Russian leader Lenin died in 1924 who succeeded him?,[Stalin],Molotov,Putin,8 + 6 = 19 - 4    True or False?,[FALSE],X,X,Find the verb in:  The teacher wrote his name on the board.,[Wrote],X,X
97,On the 24 hour clock what time is 3pm,[15.00hrs],16.00hrs,17.00hrs,What is the name of the channel which separates Ireland from Wales? ,[St. George’s Channel],North Sea,Baltic Sea,How many moons does the planet Mars have?,Four,[Two],Three,In 1932 who was elected President of America? ,[Rosevelt],Carter,Regan,There are 4 oranges in Tom's fruit bowl  he buys 5 more  how many are there altogether?,[9],11,12,Find the verb in:  The choir sang a song.,[Sang],X,X
98,On the 24 hour clock what time is 11pm,[23:00hrs],21.00hrs,20.00hrs,What is the capital city of Iraq? ,[Baghdad],Kabul,Kuwait,Which planet is closest to the sun?,Mars,[Mercury],Earth,In 1953 which Russian leader died?,[Stalin],Lenin,Mussolini,There are 3 pears in Peter's fruit bowl he buys 8 more  how many are there altogether?,[11],10,13,Find the verb in:  Jim played the guitar.,[Played],X,X
99,Pork comes from pigs. True or False?,[TRUE],X,X,What is the capital city of the Isle of Man? ,[Douglas],Sneem,Swansea,What is the largest planet in the solar system?,Saturn,[Jupiter],Neptune,In 1990 which British Prime Minister resigned?,[Margaret Thatcher],John Major,Tony Blair,There are 9 apples in Peter's fruit bowl he buys 4 more  how many are there altogether?,[13],12,14,Find the verb in:  Luke kicked the football.,[Kicked],X,X
100,For what county does Lee Chin play hurling?,[Wexford],Galway,Clare,How many counties are there in the province of Leinster? ,10,[12],9,Does the Earth revolve around the Sun? Yes or No.,No,[Yes],X,Which US President resigned over the Watergate scandal?,[President Nixon],President Clinton,President Bush,18 - 15 =,4,[3],5,Find the verb in:  Sandra painted a picture.,[Painted],X,X
101,What are Cork's county colours?,Red & Green,[Red & White],Blue & Gold,How many counties are there in the province of Munster? ,5,[6],7,How many days does the Moon take to orbit the Earth?,20 days,[27 days],24 days,In what year did Britain impose direct rule in Northern Ireland?,[1972],1916,1871,26 - 21 = ,6,[5],7,Find the adjective in:  The friendly dog barked for most of the day.,[Friendly],dog,day
102,What are Kerry's county colours?,Black & White,[Green & Gold],Green & White,How many counties are there in the province of Ulster? ,8,[9],10,What are the small blue spots that grow on bread or fruit called?,Dirt,[Mould],Infection,In what year was the Berlin Wall built?,[1961],1919,1909,27 - 16 =,7,[11],13,Who created the character “Sherlock Holmes”? ,[Sir Arthur Conan Doyle],Steven Spielberg,Enid Blyton
103,A turnip is a type of vegetable  fruit or flower? ,[Vegetable],X,X,How many counties are there in the province of Connacht? ,6,[5],4,Neptune has eight moons  what is the name of the biggest one?,Nereid,[Triton],Larissa,In 1948 which Indian leader was assassinated?,[Gandhi],X,X,19 - 9 =,9,[10],4,Which author's first story for children was The Gremlins?,[Roald Dahl's ],Beatrix Potter,Judith Kerr
104,What are Carlow's county colours?,Blue & White,[Green  Red & Yellow],Blue & Gold,In what country is Mecca? ,Jordan,[Saudi Arabia],Iraq,Which dwarf planet shares the same name as a famous Disney dog?,Venus,[Pluto],Mercury,On what two Japanese Cities was the atomic bomb dropped in 1945?,Hiroshima  Tokyo,Tokyo  Yokohama,[Hiroshima   Nagasaki] ,66 - 55 = ,25,[11],15,Which series of books were written by J.K. Rowling?,[Harry Potter],Famous Five,Winnie The Pooh
105,Broccoli is a type of vegetable  fruit or nut? ,[Vegetable],X,X,What is the smallest county in Northern Ireland? ,Antrim,[Armagh],Derry,What is a galaxy made up of?,Earths,[Stars],Clouds,Adolf Hitler committed suicide in what year?,1936,1928,[1945],14 - 6 =,4,[8],10,The Cheshire Cat is a fictional cat in which book?,[Alice's Adventures in Wonderland],Matilda,Robinson Crusoe
106,For what county does Colin Fennelly play hurling?,[Kilkenny],Dublin,Wexford,What is the capital of Libya? ,Algiers,[Tripoli],Nairobi,What occurs to the land when waste and chemicals get into the soil?,Weathering,[Pollution],Fertilization,In 1940 Germany launched a bombing Blitz on which country?,Italy,France,[Britain],What is the average of these sets of numbers:  5   7   10   6,8,[7],9,"Which famous Victorian author wrote ""A Christmas Carol""?",[Charles Dickens],Lewis Carroll,C.S.Lewis
107,What sport does Katie Mullan play?,[Hockey],Soccer,Golf,What is the most southern tip of Ireland? ,Malin Head,[Mizen Head],Dunmore Head,What is a mushroom a type of?,Mould,[Fungi],Fruit,On July 18th  1936 which European country entered into Civil War?,Italy,Portugal,[Spain],What is the average of these sets of numbers:  8   9   10   5,6,[8],4,What was the name of the little boy in Jungle Book?,[Mowgli],Barney,Jimmy
108,For what county does David Clifford play football?,[Kerry],Dublin,Mayo,Where are the Andes mountains located? ,North America,[South America],Europe,The moon affects the oceans tides on Earth. True or False?,[True],X,X,The Battle of Jutland in World War I was between which two naval fleets?,British and Swedish,British and Russian,[British and German],What is the average of these sets of numbers:   3   6   8   7,4,[6],5,Who created the little fictional boy called Noddy?,[Enid Blyton],Beatrix Potter,J.K.Rowling
109,What colour is the herb parsley?,Yellow,[Green],Orange,Which ocean borders Uruguay? ,Artic,[South Atlantic],Pacific,What do you call a place where collected waste is dumped?,Beach,Open Ground,[Landfill],In 1899 which South African War broke out?,Soweto War,Shanty War,[Boer War],What is the average of these sets of numbers:   2   4   6   4,3,[4],5,How does Lucy get to Narnia in The Lion the Witch and the Wardrobe?,[Through the back of a wardrobe],Magic Window,Secret Door
110,What colour is grapefruit?,Red,[Yellow],Orange,Which county is known as the Faithful county?,Kilkenny,[Offaly],Cork,What is the name of the tree that produces acorns?,Beech Tree,Ash Tree,[Oak Tree],In what year during World War II did the allies enter Germany?,1938,1956,[1944],What is the average of these sets of numbers:   20   4   6   10,7,[10],4,Which television personality has written the books: The World's Worst Children  Gangsta Granny and The Midnight Gang?,[David Walliams],Charles Dickens,AA Milne
111,For what county does Michael Murphy play football?,Galway,[Donegal],Mayo,To which country does Corsica belong? ,Italy,[France],Spain,What is throwing rubbish away on streets  land or beaches called? ,Cleaning,Dumping,[Littering],Who invented the telephone?,Albert Einstein,Bill Gates,[Alexander Graham Bell],Joe has 18 cousins altogether 6 are male how many are female? ,8,[12],9,"Complete the title of the famous book by Dr. Seuss: ""The Cat in the...""?",[Hat],Basket,Bag
112,Which fairy-tale character climbed a beanstalk?,Jimmy,[Jack],Joseph,What ocean borders El Salvador on its southern side? ,South Atlantic,[Pacific],North Atlantic,Which flower has big bright yellow petals and grows very tall?,Daffodil,Daisy,[The Sunflower],Who sent and received the first radio signal?,Neil Armstrong,Steve Jobs,[Guglielmo Marconi],39 - 14 =,27,[25],15,In Harry Potter what sort of animal was Crookshanks?,[Cat],Owl,Goat
113,Where does a rabbit live?,Den,[Burrow],Nest,What is the capital of Albania? ,Accra,[Tirana],Rabat,Can you name the type of tree that produces conkers?,Willow,Maple,[The Horse Chestnut Tree],The American Civil War ended in what year ?,1901,1841,[1865],41 - 26 =,25,[15],35,In the Harry Potter books  what sort of animal was Hedwig?,[Owl],Horse,Spider
114,Where do most birds live?,In burrows,[In nests],In caves,What county in Ireland has the shortest coastline? ,Galway,[Leitrim],Wicklow,What 'C' is a prickly plant that grows in the desert?,Celery,Citrus,[Cactus],In 1997 which city did Britain return to China?,Shanghai,Peking,[Hong Kong],46 - 29 =,15,[17],21,What were the names of Harry Potter's real parents?,[James and Lily],John and Nora,Jim and Eve
115,What part of the body is responsible for pumping blood around your body?,Lungs,[Heart],Kidneys,What is the national tree of Canada? ,Lion,[Maple],Shamrock,What important gas is produced by trees and helps us to breathe?,Helium,Carbon Dioxide,[Oxygen],In 1990 Nelson Mandela was released from prison in which country?,Ethiopia,Nigeria,[South Africa],52 -26 =,36,[26],16,In the Harry Potter books who is Harry's first girlfriend at Hogwarts?,[Cho Chang],Lavender Brown,Katie Bell
116,Who was the first Christian martyr? ,St. Paul,[St. Stephen],St. Andrew,What canal links the North Sea with the Baltic sea? ,Suez  Canal,[Kiel Canal],Panama,What is your patella commonly known as?,Eyelash,Elbow,[Knee Cap],William Wallace began an uprising against English rule in which Country?,Ireland,Wales,[Scotland],61 - 18 =,23,[43],36,In the Harry Potter books what is the surname of Harry's best friend Ron?,[Weasley],Luna,Draco
117,Who were the first man and woman named in the Bible?,Ant and Dec,[Adam and Eve],Cain and Abel,What is the largest lake in Ireland? ,Lough Ree,[Lough Neagh],Lough Derg,What is the largest joint in the human body?,Shoulder,Ankle,[Knee],What was unique about the roads built by the Romans?,They had no drains,They had a tarred surface,[They were straight],55 - 15 =,30,[40],20,Which book was the seventh of the Harry Potter series?,[Harry Potter and the Deathly Hallows],X,X
118,In the Bible  who built an Ark? ,Jonah,[Noah],Moses,What is the capital city of Egypt? ,Bamako,[Cairo],Lusaka,Is hot air lighter or heavier than cold air?,[Lighter],X,X,Who invented Morse code?,Guglielmo Marconi,Graham Bell,[Samuel Morse],37 - 17 = ,17,[20],30,Who or what is the title character in the Worzel Gummidge books?,[A Scarecrow],A Farmer,A Postman
119,In the Bible  who had a coat of many colours?,Simon, [Joseph],Jason,To what country do the Canary Islands belong? ,Portugal,[Spain],France,What type of gas do plants absorb from the atmosphere?,[Carbon Dioxide],Hydrogen,Helium,What was the name of the German leader during World War II?,Frankenstein,Angela Merkel,[Adolf Hitler],45 -16 = ,25,[29],19,What punctuation mark do you put at the end of a sentence?,[Full Stop],Capital Letter,Comma
120,In the Bible  who led the Israelites out of Egypt? ,Joseph,[Moses],Peter,In what county in Ireland is Carrickfergus located? ,Derry,Armagh,[Antrim],Which famous scientist introduced the idea of natural selection?,[Charles Darwin],Albert Einstein,Isaac Newton,In which country are the famous Pyramids of Giza?,India,China,[Egypt],39 - 21 =,9,22,[18],Find the noun in:  I decided to catch the train.,[Train],Catch,Decided
121,Who was the cook on the Hispaniola? ,Captain Birdseye,[Long John Silver],Christopher Columbus,In what county in Ireland is Portadown located? ,Sligo,Donegal,[Armagh],What is a person who studies biology known as?,[A biologist],An anthropologist,A physicist,What type of flower is worn on Remembrance Day in Britain?,A Tulip,A Rose,[A Poppy],42 - 35 =,9,17,[7],Pick out the noun in: The queue was very long so I didn't wait.,[Queue],Long,Wait
122,In what sport does Ellen Keane compete?,[Swimming],Athletics,Soccer,In what county in Ireland is Cootehill located? ,Carlow,Monaghan,[Cavan],What is botany the study of?,[Plants],Animals,Weather,Which three countries did the Vikings come from?,[Denmark  Norway and Sweden],X,X,58 - 23 =,25,28,[35],Find the noun in:  There are no interesting shows on tonight.,[Shows],Interesting,Tonight
123,What Centigrade temperature corresponds to 32°Fahrenheit?,[0° Centigrade],25° Centigrade,10° Centigrade,In what county in Ireland is Borris located? ,Kilkenny,Wexford,[Carlow],Can frogs live in salt water?,[No],X,X,Which famous explorer discovered Cuba?,Crean,Shackleton,[Christopher Columbus],149 -28 =,110,111,[121],Find the noun in:   I need to find something that my sister will like. ,[Sister],Need,Find
124,In what country was the metric system first introduced? ,[France],Japan,Canada,In what county in Ireland is Aughrim located? ,Wexford,Carlow,[Wicklow],Your body has cells that can help fight against disease. True or False?,[TRUE],X,X,How many wives did King Henry VIII have?,Two,One,[Six],251 -124 =,107,97,[127],Find the noun in:  Don't be late for the concert. ,[Concert],Late,For
125,How many squares are there on a chess board?,[64],81,49,In what county in Ireland is Gorey located? ,Wicklow,Waterford,[Wexford],What job do red blood cells do in the body?,[Carry Oxygen],Carry Water,X,What year was the Battle of Hastings?,1200,966,[1066],750 - 245 =,495,455,[505],Find the noun in:  New York is very expensive to live in. ,[New York],Expensive,Live
126,In what sport do you use a Shuttlecock?,[Badminton],Table Tennis,Hockey,In what county in Ireland is Athy located? ,Laois,Meath,[Kildare],With what can bacterial infections in humans and animals be treated?,Water,Heat,[Antibiotics],Who was the President of America before Barack Obama?,Abraham Lincoln,Gerald Ford,[George W. Bush],435 - 260 =,195,155,[175],Find the noun in:  We need to find Molly before we can go. ,Before,Find,[Molly]
127,From which animals do we get beef? ,[Cattle],Goats,Pigs,In what county in Ireland is Navan located? ,Louth,Westmeath,[Meath],What is a single piece of coiled DNA known as?,Neuron,Proton,[Chromosome],King Henry VIII was born in 1491. True or False?,[TRUE],X,X,150 - 78 =,65,58,[72],Find the noun in:  I can't find my red shirt.,Red,My,[Shirt]
128,From which animals do we get mutton?,[Sheep],Chickens,Deer,In what county in Ireland is Mullingar located? ,Cavan,Longford,[Westmeath],What is a group of dog offspring known as?,A herd,A flock,[A litter],What material was used to build the first castles?,[Wood] ,Iron,Stones,29 -14 -8 =,2,15,[7],Find the noun in:  How long will the journey take? ,take,long,[Journey]
129,From which animals do we get veal?,[Calves],Deer,Duck,In what county in Ireland is Thomastown located? ,Wexford,Waterford,[Kilkenny],What is the name of the process used by plants to convert sunlight into food?,Growing,Extraction,[Photosynthesis],How long was Queen Victoria's reign?,[63 years],43 years,23 years,51 - 16 -7 =,7,9,[28],Find the  noun in this sentence: When are the doors being replaced?,Replaced,When,[Doors]
130,From which animals do we get venison?,[Deer],Camel,Rabbit,In what county in Ireland is Abbeylara located? ,Galway,Roscommon,[Longford],The death of every member of a particular species is known as what?,Explosion,Expulsion,[Extinction],What was Hitler's first name?,[Adolf],Heil,Rudolf,24 - 12 + 4 + 18 =,8,14,[34],Find the noun in:   The sun is too bright to look at today. ,Look,Bright,[Sun]
131,In 2020 who captained Ireland's Women's Football Team?,[Katie McCabe],Stephanie Roche,Louise Quinn,In what county in Ireland is Belleek located? ,Westmeath,Derry,[Fermanagh],The process of pasteurization is named after which famous scientist?,Albert Einstein,Isaac Newton,[Louis Pasteur],Can you unscramble this word to find the first name of a Roman leader: SIUJUL,[Julius],X,X,55 - 19 + 5 =,4,11,[41],Find the noun in:  They are forecasting rain later. ,Forecasting,Later,[Rain]
132,On a pencil what do the letters HB stand for?,[Hard Black],Hard Blue,Hold Back,In what county in Ireland is Malahide located? ,Kildare,Louth,[Dublin],Which is the whales strongest sense?,Smell,Touch,[Hearing],Who was the first explorer to reach the South Pole in 1911?,[Roald Amundsen],Robert Scott,James Cook,68 + 18 - 29 =,9,5,[57],Find the noun in:  Please do not walk on the pitch.,Please,Walk,[Pitch]
133,What is the proper name for the lead in a pencil? ,[Graphite],Chalk,Acrylic,In what county in Ireland is Ardee located? ,Meath,Tyrone,[Louth],What is a change of the DNA in an organism that results in a new trait known as?,Expansion,Reduction,[Mutation],Who was the first President of Ireland ?,[Douglas Hyde],Edward Kennedy,Jack Charlton,There were 34 people on the train 20 got off and 8 more got on  how many people now on the train?,19,17,[22],Which word is the noun in this sentence: Where is the old market? ,Where,Old,[Market]
134,What is the first book of the Old Testament? ,[Book Of Genesis],Book of Malachi,Book of Exodus,In what county in Ireland is Stradbally located? ,Kildare,Offaly,[Laois],Electric current is measured using what device?,Hygrometer,Gauge,[Ammeter],The Hanging Gardens of Babylon are one of the Seven Wonders of the Ancient World. True or False,[TRUE],X,X,There were 13 people on the bus 3 got off and 17 got on  how many people are now on the bus?,21,15,[27],How many vowels in the word Saturday?,0,5,[3]
135,In what language was the Old Testament written? ,[Hebrew],Latin,Greek,In what county in Ireland is Castlebar located? ,Leitrim,Donegal,[Mayo],Batteries convert chemical to electrical energy. True or false? ,[TRUE],X,X,Who was the first person to climb Mount Everest?,Robert Scott,[Edmund Hillary],Buzz Aldrin,Conor has 5 fish  2 rabbits and 2 dogs  how many pets has he?,10,13,[9],How many vowels in the word Umbrella?,4,1,[3]
136,In what language was the New Testament first written? ,[Greek],Hebrew,Latin,In what county in Ireland is Carrick On Shannon located? ,Roscommon,Galway,[Leitrim],What is the wire inside an electric bulb known as?,[A filament],A coil,A spring,Who was the founder of Al Qaeda?,Saddam Hussein,[Osama bin Laden],Colonel Gaddafi,How many buns are there in a Baker's dozen ?,10,12,[13],How many vowels in the word Mississippi?,2,5,[4]
137,How many keys are there on a piano?,[88],96,101,In what county in Ireland is Tuam located? ,Longford,Clare,[Galway],Do conductors have a high or low resistance?,[Low],X,X,What electrical item was Thomas Edison famous for inventing?,Telephone,[Light bulb],Television,Put these numbers in order starting with the smallest   78    155    29,[29  78  155],X,X,How many vowels in the word Elephant?,0,1,[3]
138,In what sport does Sanita Puspure compete?,[Rowing],Boxing,Athletics,In what county in Ireland is Enniscrone located? ,Kerry,Derry,[Sligo],Electric resistance is typically measured in what units?,[Ohms],Watts,Amps,Where did the Aztecs come from originally?,Portugal,[Mexico],France,Put these numbers in order starting with the smallest:  142    55    89,[55  89  142],X,X,How many vowels in the word crocodile?,3,2,[4]
139,How many colours are there in a rainbow?,[7],12,9,In what county in Ireland is Killmallock located? ,Cork,Clare,[Limerick],In terms of electricity  what does AC stand for?,[Alternating current],Air Current,Amp Cut,What nationality was the famous explorer Captain James Cook?,Irish,[British],French,Put these numbers in order starting with the smallest:  295    191    117  ,[117  191  295],X,X,How many vowels in the word paste?,3,0,[2]
140,Which animal is known as the Ship of the Desert?,Sidewinder,Meerkat,[Camel],In what county in Ireland is Thurles located? ,Cork,Kilkenny,[Tipperary],What is a rat's strongest sense?,[Smell],Sight,Hearing,What language did the Romans speak?,Spanish,[Latin],English,Put these numbers in order starting with the smallest:  141    59    119,[59  119  141],X,X,How many vowels in the word Alignment?,3,1,[3]
141,From which direction does the sun rise?,North,West,[East],In what county in Ireland is Magherafelt located? ,Tyrone,Donegal,[Derry],What is an eagle's strongest sense?,[Sight],Touch,Hearing,In Egypt  the Sphinx is a statue of a man with the body of which animal?,An elephant,[A lion],A tiger,Put these numbers in order starting with the smallest:  398    289    391,[289  391  398],X,X,How many vowels in the word Editing?,1,4,[3]
142,What do you call a shape that has 5 sides?,Circle,Triangle,[Pentagon],In what county in Ireland is Banbridge located? ,Antrim,Tyrone,[Down],What is the freezing point of water in Celsius?,[0°C],-15°C,-50°C,Where is the Kingdom of Benin located?,Egypt,[Nigeria],Italy,Four  children in a family are ages 6  9  15 and 10. What is their average age? ,[10],8,11,How many vowels in the word Acrobat?,4,2,[3]
143,How many hours are there in two days in total?,36,24,[48],In what county in Ireland is Dungarvan located? ,Cork,Kilkenny,[Waterford],Which parts of the body helps you move?,[Muscles],Lungs,Eyes,Liberty  Equality  Fraternity was the motto of which revolution? ,Irish Revolution,[French Revolution],Serbian Revolution,How many 50 cent coins in €4?,[8],5,9,How many vowels in the word Clipboard?,1,0,[3]
144,How many primary colours are there?,6,5,[3],In what county in Ireland is Omagh located? ,Louth,Cavan,[Tyrone],The two holes of the nose are called?,[Nostrils],Eyelids,Sinuses,What was Florence Nightingale's occupation?,Policeman,[Nurse],Soldier,How many 20 cent coins in €5?,[25],30,10,What is the opposite to sour?,Sugary,Savoury,[Sweet]
145,For anti-clockwise  which way do I turn?,Right,Up,[Left],Which planet is the earth’s only natural satellite? ,Jupiter,Pluto,[The Moon],What star shines in the day and provides light?,[The sun],Pluto,Clouds,During which century were the world's first cars invented?,18th Century,[19th Century],20th Century,Divide €50 equally among 5 people?,[€10],€5,€8,What is the opposite to night?,[Day],X,X
146,What do you call a house made of ice?,A tent,A wigwam,[An igloo],Name the three sister rivers? ,[The Barrow  the Nore and the Suir],X,X,Which organ covers the entire body and protects it?,[The skin],Arteries,Veins,Which Wonder of the Ancient World still exists today?,Statue of Zeus,[The Pyramid of Giza],Gardens of Babylon,Luke's uncle gave him €60 to share equally with his 2 brothers  how much did they each get?,[€20],€15,€25,What vowel is missing  a i o u?,[E],B,F
