No,GK,GK1,GK2,GK3,GEO,GEO1,GEO2,GEO3,SCI,SCI1,SCI2,SCI3,HIS,HIS1,HIS2,HIS3,MAT,MAT1,MAT2,MAT3,ENG,ENG,ENG2,ENG3
69,Who was the male lead actor in the 1990 movie Ghost?,Mel Gibson,Kevin Costner,[Patrick Swayze],What is the capital of Bosnia?,[Sarajevo],Visoko,Chernobyl,Can sound travel through a vacuum?,[No],Yes,X,Who established a Theocracy in Iran in 1979?,Osama Bin Laden,Muammar Gaddafi,[Ayatollah Khomeini],What is 10% of 200?,60,40,[20],"Finish the proverb ""Practice makes..""",[perfect],X,X
70,"Which band sings the songs ""Sugar"" and ""Cold""?",Coldplay,Jungle,[Maroon 5],What is the capital of Bulgaria?,Riga,Ruse,[Sofia],The tendon that joins the calf muscle to the heel bone is called?,Hamstring,Cruciate ligament,[Achilles tendon],The Khmer Rouge was a communist movement in which country?,India,China,[Cambodia],What is 25% of 400?,200,50,[100],"Finish the proverb ""Speak the truth and..""",[shame the devil],X,X
71,"Who plays Axel Foley in the movie ""Beverly Hills Cop""?",Chris Rock,Will Smith,[Eddie Murphy],What is the capital of Croatia?,Split,Dubrovnik,[Zagreb],When an organism adjusts to its environment to survive it is called?,Subsistence,Survival,[Adaption],The Khmer Rouge was overthrown in Cambodia in what year?,1980,1975,[1979],What is 33% of 999?,100,300,[333],"Finish the proverb ""Learn to walk..""",[before you run],X,X
72,"Who played Uncle Albert in ""Only Fools and Horses""?",David Jason,Neil Ruddock,[Buster Merryfield],What is the capital of Czech Republic?,Dubrovnik,Brno,[Prague],A tissue where fat is stored is known as?,Excess Tissue,Storage Tissue,[Adipose Tissue],Between 1980 and 1988 which two countries were at war in Asia?,North Korea & South Korea,Iran & India,[Iran & Iraq],What is 5% of 50?,10,5,[2.5],"Finish the proverb ""Jack of all trades..""",[master of none],X,X
73,"At the end of season 5  of ""Friends"" in what city did Ross and Rachel get married?",Los Angeles,New York,[Las Vegas],What is the capital of Ireland?,Galway,Kilkenny,[Dublin],Which hormone causes the fight or flight effect?,Endorphins,Testosterone,[Adrenalin],In 1980 which Republican candidate was elected president of the United States?,George W. Bush,Richard Nixon,[Ronald Regan],Express 25% as a fraction?, 2/3, 1/3,[1/4],"Finish the proverb ""A thing of beauty.."" ",[is a joy forever],X,X
74,"Which actor plays Angus MacGyver in the remake of ""MacGyver"" released in 2016?",Ben Affleck,Justin Hires,[Lucas Till],What is the capital of Austria?,Innsbruck,Salzburg,[Vienna],Adrenalin is produced in which glands?,Nymph Glands,Thyroid Glands,[Adrenal Glands],In what year did the Vietnam war end?,1980,1973,[1975],Express 75% as a fraction?, 1/4, 2/3,[3/4],"Finish the proverb ""What can't be cured..""",[must be endured],X,X
75,Who presented Series 1 of X Factor UK in 2004?,Dermot O'Leary,Victoria Beckham,[Kate Thornton],What is the capital of Belgium?,Bruges,Antwerp,[Brussels],Alkaline substances have a Ph value range of?,0.0 to 6.9,7,[7.1 to 14.0],Democratic elections started in Spain in 1976 after which dictator died?,Gomez,Mussolini,[General Franco],Express 50% as a fraction?, 1/4, 3/4,[1/2],"Finish the proverb ""A nod is as good..""",[as a wink],X,X
76,Who is the bass guitarist in the band U2?,The Edge,Bono,[Adam Clayton],What is the capital of Luxembourg?,Amsterdam,Wiltz,[Luxembourg],What is the atomic number for calcium?,[20],25,28,In 1975 which war in South East Asia ended?,[Vietnam War],Korean War,Russo-Japanese War,What is 50% of 226?,176,123,[113],What word is given to someone who is a handwriting expert?,[Graphologist],X,X
77,Which music star appeared in the premiere of Series 7 of Game of Thrones?,Justin Timberlake,Justin Bieber,[Ed Sheeran],What is the capital of Spain?,Valencia,Barcelona,[Madrid],"Which canal consists of the mouth, oesophagus, stomach, small intestine and large intestine?",[Alimentary Canal],Root Canal,Vessel Canal,Who established the People's Republic of China in 1949?,[Mao Zedong],Yen Yi,Fu Chung,What is 50% of 125?,55,89,[62.5],"Finish the proverb ""Great minds..""",[think alike],X,X
78,The characters Sheldon and Leonard featured in which series from the 2000s?,Doctor Who,The West Wing,[The Big Bang Theory],What is the capital of Sweden?,Helsinki,Gothenburg,[Stockholm],The joining together of molecules to produce new chemicals is called?,[Anabolism],Anabolic,Bonding,"In what year did the founder of the People's Republic of China, Mao Zedong, die?",[1976],1980,1985,What is the square root of 49?,4,9,[7],Which English poet lived between 1340-1400?,John Keats,T.S Eliot,[Geoffrey Chaucer]
79,Which car company produces the Vanquish and DB7 models?,Bentley,McLaren,[Aston Martin],What is the capital of Denmark?,Aalborg,Aarhus,[Copenhagen],How does the Coronavirus spread?,[By Sneeze or Cough Droplets],By Water,By Blood,Direct rule of Northern Ireland from Westminster occurred from what year?,[1972],1985,1969,What is the square root of 144?,14,10,[12],Which English playwright lived between 1564-1616?,Christopher Marlow,John Webster,[William Shakespeare]
80,Tom Selleck appears in what American drama as Frank Reagan?,Brooklyn 99,Hawaii 5.0,[Blue Bloods],What is the capital of Holland?,Eindhoven,Rotterdam,[Amsterdam],What is a plant which completes its life cycle in one year called?,[Annual plant],Yearly plant,Short lived plant,"""The Troubles"" began in Ireland in what decade?",[1960s],1980s,1970s,What is the square root of 256?,9,28,[16],Which English poet lived between 1573-1631?,Lord Byron,William Wordsworth,[John Donne]
81,"In which year did ""Strictly Come Dancing"" first air on television?",2002,2005,[2004],What is the capital of  Finland?,Tampere,Turku,[Helsinki],What medicine slows or prevents the growth of micro organisms?,[An Antibiotic],Antibody,Steroid,The Yom Kippur War was between which two peoples?,[Arabs and Israelis],Iran and Iraq,Turkey and Sudan,"The Number 0 is neither positive or negative, true or false?",[TRUE],FALSE,X,Which English poet lived between 1608-1674?,George Orwell,John Keats,[John Milton]
82,In which television show was J.R Ewing famously a character?,Little House on the Prairie,The Waltons,[Dallas],What is the capital of  France?,Marseille,Nice,[Paris],What protein is produced by white blood cells to destroy foreign bodies?,[Antibody],Antibiotic,Bacteria,Which three nations were involved in the Yom Kippur War?,[Israel-Egypt-Syria],Iran-Iraq-Turkey,Sudan-Egypt-Israel,When a number is only divisible by itself and 1 is called what type of number?,Odd Number,Even Number,[Prime Number],Which Irish poet was born in Longford and lived between 1728-1774?,John Montague,Patrick Kavanagh,[Oliver Goldsmith]
83,"In which year did Phillip Schofield begin co-hosting ""This Morning""?",2009,2005,[2002],What is the capital of  Germany?,Munich,Frankfurt,[Berlin],Which is the largest artery to carry oxygen enriched blood around the body?,[Aorta],Vein,Vena Cava,In what year did the Yom Kippur War take place?,[1973],1985,1942,The highest number that is a divisor of two or more numbers is called what?,Largest Divisor,Highest Factor ,[Highest common factor],Which Scottish poet lived between 1759-1796?,Thomas Campbell,James Hogg,[Robert Burns]
84,"""Stranger Things"" debuted on which streaming platform in 2016?",Amazon Prime,Now TV,[Netflix],What is the capital of  Greece?,Nicosia,Thessaloniki,[Athens],A blood vessel which carries blood away from the heart to the body tissues is called?,Aorta,[Artery],Vein,In what year was decimal currency introduced?,[1971],1973,1972,Any natural number that is divisible by two is what type of number?,Prime Number,Odd Number,[Even Number],Which London born poet lived between 1757-1827?,Robert Browning,John Milton,[William Blake]
85,"Who presented the original series of ""Who wants to be a Millionaire"" debuted in 1998?",Jon Snow,Philip Scofield,[Chris Tarrant],What is the capital of  Italy?,Venice,Milan,[Rome],Reproduction which does not involve the fusion of sex cells is called?,Bisexual ,[Asexual],Heterosexual,Which of these countries joined the EEC in the same year as Ireland?,[Denmark],Belgium,Italy,Any natural number that is not divisible by two is what type of number?,Even Number,Prime Number,[Odd Number],Which English poet lived between 1770-1850?,Rudyard Kipling,Aleister Crowley,[William Wordsworth]
86,"Which past English footballer started presenting ""Match of the Day"" in 1999?",Dan walker,Des Lynam,[Gary Lineker],What is the capital of  Portugal?,Madrid,Porto,[Lisbon],"Parasites, saprophytes and symbionts are types of what?",Organisms,[Bacteria],Cells,In 1968 which American Civil rights activist was assassinated?,[Martin Luther King Jr],Malcolm X,Rosa Parks,To change a fraction to a percentage you multiply it by what?,[100],X,X,Which London born poet lived between 1795-1821?,George Orwell,William Blake,[John Keats]
87,"Who  wrote the children's books ""Mr. Stink"" and ""Gangsta Granny""?",Francesca Simon,Roald Dahl,[David Walliams],What is the capital of Latvia?,Tallinn,Bucharest,[Riga],What is Bacteriology the study of?,Hormones,[Bacteria],Cells,In what year was the Arab-Israeli six day war?,[1967],1964,1970,Express 5% as a fraction?,[1/20],Jan-25,Jan-24,Which poet was born in Lincolnshire and lived between 1809-1892?,Charles Tennyson,John Milton,[Alfred Tennyson]
88,"What is the full name of the main character in the book ""Wonder""?",April Adams,Jack Will,[August Pullman],What is the capital of  Lithuania?,Kaunas,Tallinn,[Vilnius],The shoulder and hip joint are known as what types of joints?,Central Joints ,[Ball and Socket Joints],Pivotal Joints,In what year was Richard Nixon elected American President?,[1969],1965,1974,Express 2.5% as a fraction?,[1/40],Jan-25,Jan-60,Which Dorset born poet lived between 1840-1928?,Thomas Sackville,William Barnes,[Thomas Hardy]
89,"What is the fifth book in the ""Harry Potter"" series?",Goblet of Fire,Chamber of Secrets,[Order of the Phoenix],What is the capital of  Macedonia?,Ohrid,Veles,[Skopje],What is a muscle which has two points of attachment to a bone called?,Triceps,[Bicep],Hamstring,In what year was the Cuban Missile Crisis?,[1962],1963,1965,141 -37 + 23 +119 =,[246],196,286,"Which poet born in St Louis, Missouri lived between 1888-1965?",Emily Dickinson,Robert Frost,[T S Eliot]
90,"Which male author wrote the series of ""Alex Rider"" books?",Rick Riordan,Michael Morpurgo,[Anthony Horowitz],What is the capital of  Malta?,Floriana,Sliema,[Valletta],What is a plant which takes two years to complete its life cycle is called?,Dual year,[Biennial],Biyearly,In 1961 who was elected President of the United States of America?,[John F. Kennedy],Dwight D. Eisenhower,Harry Truman,Fractions which are greater than or equal to one are called improper fractions true or false?,[TRUE],FALSE,X,Which poet born in Swansea lived between 1914-1953?,Peter Thabit,Nigel Jenkins,[Dylan Thomas]
91,"Who is the publisher of the series of ""Diary of a Wimpy Kid"" books?",Harper Collins ,Puffin Books,[Amulet Books],What is the capital of  Norway?,Helsinki,Bergen,[Oslo],What does the liver secrete and store in the gall bladder?,Hydrochloric acid,[Bile],Insulin,In 1959 Castro became leader of which country?,[Cuba],Mexico,Libya,State Pythagoras Theorem.,[Hypotenuse squared is equal to the sum of the squares of the other two sides],X,X,Which Sligo poet lived between 1865-1939?,Dermot Healy,Kevin Connolly,[William Butler Yeats]
92,"In what year was ""Nike"" founded?",1954,1974,[1964],What is the capital of  Poland?,Torun,Kraków,[Warsaw],What is the use of living organisms to control the population of other organisms called?,Chemical Control,[Biological Control],Environmental Control,The Warsaw pact was formed in what year?,[1955],1956,1957,Express 5/8 as a decimal.,[0.625],0.825,0.375,Which Dublin born poet lived between 1896-1974?,Samuel Beckett,James Joyce,[Austin Clarke]
93,"With whom did Adidas collaborate with to produce the ""Yeezy"" Collection?",Virgil Abloh,Travis Scott,[Kanye West],What is the capital of  Romania?,Budapest,Riga,[Bucharest],What is the science that deals with the study of living things called?,Chemistry,[Biology],Physics,In 1953 which Russian Leader died?,[Stalin],1958,1945,"Sine, Cos, and Tan are all functions used in which branch of mathematics?",[Trigonometry],Area and Volume,Arithmetic ,Which Monaghan born poet lived between 1906 -1967?,Brendan Behan,Eavan Boland,[Patrick Kavanagh]
94,"In what country is the ""Adidas"" headquarters located?",Austria,France,[Germany],What is the capital of Slovakia?,Zvolen,Dubrovnik,[Bratislava],What are the areas of the world where life can exist called?,Atmosphere,[Biosphere],Environment,NATO was formed in which year?,[1949],1950,1948,"Bar chart, pie charts and venn diagrams are all used in which branch of mathematics?",[Statistics],Probability,Functions,Which Dublin poet was born in 1928?,John Montague,Paul Muldoon,[Thomas Kinsella]
95,From which country does the clothes company H&M originate?,[Sweden],America,UK,What is the capital of  Slovenia?,Bratislava,[Ljubljana],Maribor,What is the use of biological organisms to produce other useful products called?,Microtechnology,[Biotechnology],Nanotechnology,In 1948 which middle Eastern country was officially founded?,[Israel],Iran,Iraq,Is the cosine rule used for right or non-right angle triangle?,[Non right angle triangle],Right angle triangle,X,Portia is a character from which Shakespearean play?,Richard III,King Lear,[The Merchant of Venice]
96,"Who were the first ""Ray-Ban"" sunglasses made for?",[U.S Pilots],Baseball Players,F1 Drivers,What is the capital of Estonia?,Tartu,[Tallinn],Riga,What is the liquid tissue found in the vascular system of animals called?,Water,[Blood],Skin,World War II was fought between which years?,1938-1941,[1939-1945],1940-1945,What trigonometric ratio uses the opposite and adjacent sides of an angle?,[Tan],Sin,Cos,Shylock is a character from which Shakespearean play?,Henry V,Macbeth,[The Merchant of Venice]
97,"In what year was ""Converse"" founded?",[1908],1910,1906,What is the capital of  Switzerland?,Zürich,[Bern],Geneva,"Which liquid tissue's main functions are transport, body defence and temperature regulation?",Skin,[Blood],Saliva,In 1941 which country did Germany invade?,Italy,[USSR],Austria,Sin/Cos is expressed as what?,[Tan],The hypotenuse of the triangle,The opposite side of an angle,"Complete the title of this Shakespearean play ""The Merchant of …..""",Paris,Vienna,[Venice]
98,"Who founded the ""Virgin Group""?",[Richard Branson],Elon Musk,Tim Cook,What is the capital of  Turkey?,Istanbul,[Ankara],Izmir,What is the study of plants known as?,Plantology,[Botany],Anatomy,The allies dropped the Atomic Bomb on Hiroshima and Nagasaki in which year?,1946,[1945],1948,Express 3/8 as a decimal?,[0.375],0.125,0.4,"In the Shakespearean play ""Hamlet"".  Where was Hamlet the prince of?",France,Sweden,[Denmark]
99,Which soccer club was the richest club in the world in 2017?,[Manchester United],FC Barcelona,Real Madrid,What is the longest river in Europe? ,The Rhine,[The Volga],the Seine,Some form of hair can grow anywhere on your body. True or False? ,TRUE,[FALSE],X,Which country entered World War II in 1942?,United Kingdom,[USA],Japan,The ratio of 50 : 200 expressed in its lowest form is what?,[1 : 4],X,X,"In the Shakespearean play ""Othello"". Where was Othello the Moor of?",Athens,Rome,[Venice]
100,"Who founded the car company ""Ferrari""?",[Enzo Ferrari],Adrina Ferrari ,Rossi Ferrari,Which is the Earth’s only natural satellite? ,The Sun,[The Moon],Mars ,Where is your Tibia bone located?,Arm,[Leg],Chest,In 1943 which country surrendered in World War II?,Japan,[Italy],Russia,The ratio of 10 : 15 expressed in its lowest form is what?,[2 : 3],X,X,"Complete the title of this Shakespearean play ""Anthony and ..""",Beatrice,Jessica,[Cleopatra]
101,Who was the most followed person on Instagram in 2017?,[Selena Gomez],Cristiano Ronaldo,Dwayne Johnston,What is the longest river in Africa? ,The Congo,[The Nile],The Zambezi ,What is the name of the process that plants use to convert light energy into chemical energy?,Reproduction,[Photosynthesis],Seed Dispersal,Italy entered World War II in what year?,1941,[1940],1942,When multiplying numbers of different signs  -  is the result positive or negative?,Positive,[Negative],X,"Complete the title of this Shakespearean play "" The Comedy of ..""",Failures,Mistakes,[Errors]
102,Name the lead singer of U2.,[Bono],The Edge,Adam Clayton,What is the capital city of Iraq? ,Beirut,[Baghdad],Muscat,Where is your bicep muscle located?,Lower Leg,[Upper Arm],Foot,In what year did the Soviets enter World War II?,1940,[1941],1942,What are the statement of the assets and liabilities of a company called?,Income Statement ,[Balance Sheet],Analysed Cash Book,"Complete the title of this Shakespearean play ""A Midsummer Night..""",Murder,Thought,[Dream]
103,Which clubs  played in the Champions League soccer final 2018?,[Real Madrid & Liverpool],Juventus & Barcelona,Bayern Munich & Barcelona,In what country is the city of Stuttgart?,Austria,[Germany],Poland,Where is your calf muscle located?,Upper Leg,[Lower Leg],Forearm,The World War II was started by Germany in an unprovoked attack on which country?,Czechoslovakia,[Poland],Hungary,What are the property and possessions of a firm called?,Liabilities,[Assets],Stock,Banquo is a character from which Shakespearean play?,Julius Caesar,Othello,[Macbeth]
104,Which team won the men's Rugby Six Nations tournament in 2018?,[Ireland],Wales,England,How many counties are in the province of Leinster? ,10,[12],11,What is BSE more commonly known as?,Parkinson Disease,[Mad Cow Disease],Legionnaires,In what year was the Russian Civil War?,1917,[1918],1920,All money transactions of a firm are recorded in what type of book?,Stock Book,[Cash Book],Cash Flow Book,"The play ""Macbeth"" takes place in which country?",Wales,[Scotland],England
105,Which team won the men's Rugby Six Nations tournament in 2017?,[England],Ireland,Scotland,What is the most southern tip of Ireland?,Hook Head,[Mizen Head],Sheep's Head,What are the very narrow blood vessels which connect veins and arteries called?,Soft Tissue,[Capillaries],Arterioles,The Panama Canal opened in which year?,1915,[1914],1912,In a cash book do you debit or credit all money coming in?,Debit,[Credit],X,"In the play ""Macbeth"", what is the name of the King of Scotland?",William,[Duncan],Robert
106,Which team won the men's Rugby Six Nations tournament in 2016?,[England],Wales,Ireland,What ocean borders Uruguay? ,Pacific Ocean,[Atlantic Ocean],Dead Sea,What is a flesh eating animal called?,Herbivore,[Carnivore],Omnivore,In 1917 what country entered World War I?,Russia,[United States of America],Canada,In a cash book do you debit or credit all money going out?,Credit,[Debit],X,"In what Italian city is the Shakespearean play ""Romeo and Juliet"" set?",Siena,[Verona],Florence
107,Which team won back-to-back men's Rugby World Cups in 2011 and 2015?,[New Zealand],Australia,South Africa,To which country does Corsica belong? ,Italy,[France],Spain,The carpals are eight small bones found in which body part?,Foot,[Wrist],Ankle,The Battle of Waterloo took place in what year?,1816,[1815],1810,When a fixed asset loses value over a period of time what is this called?,Appreciation,[Depreciation],Devaluation,Escalus is a character from which Shakespearean play?,As You Like It,[Romeo & Juliet],Much Ado About Nothing
108,Which international men's rugby team won the Grand Slam in 2009?,[Ireland],France,England,To which country do the Faroe Islands belong? ,Norway,[Denmark],UK,What is the basic unit of all living things called?,Atom,[Cell],Organ ,Napoleon's last battle took place where?,Borodino,[Waterloo],Wagram,"In functions, what is the list of all possible inputs called?",Co-domain,[Domain],Key,"In the Shakespearean play ""Anthony & Cleopatra"", Cleopatra is the Queen of which country?",Morocco,[Egypt],Algeria
109,Which team won the men's Rugby Six Nations tournament in 2013?,[Wales],France,Ireland,What is the largest lake in Ireland? ,Lough Ree,[Lough Neagh],Lough Derg,Which part of the brain controls muscular coordination?,Cerebrum,[Cerebellum],Brainstem,The battle of Waterloo was between which two countries?,Italy & France,[Britain & France],Germany & France,"In functions, what is the range?",Outputs given by whole numbers,[All possible outputs of a function],The biggest and smallest outputs,"In the Shakespearean play ""King Lear"", Lear is the King of which country?",France,[Britain],Spain
110,What was the starting scrum half on the team that won the Rugby World Cup in 2019?,[Faf de Klerk],Handrè Pollard,Cheslin Kolbe,Which country owns the Canary Islands? ,Portugal,[Spain],Morocco,What is the green pigment found in plants called?,Eumelanin,[Chlorophyll],Melanin,In 1799 who seized power in France on Christmas Day?,Louis XVI,[Napoleon],Marie Antoinette,"A ""U"" shaped graph is typically know as what type of function?",Linear Function ,[Quadratic function],Exponential Function,"The Dukes of Burgundy, Cornwall and Albany are all characters from which Shakespearean play?",Othello,[King Lear],Richard III
111,Which American golfer won The Masters Tournament in 2019?,[Tiger Woods],Dustin Johnson,Rickie Fowler,What river flows into the Boyne at Navan? ,The Moy,[The Blackwater],The Barrow,The cornea is found in which body part?,Nose,[Eye],Ear,In 1793 which King of France was executed?,Louis XV,[Louis XVI],Louis XIV,A sequence of numbers with the same difference between each one and the next is what type of pattern?,Exponential Pattern,[Linear pattern],Squared Pattern,"From which Shakespearean play is this line: ""It is a wise father that knows his own child""",Romeo & Juliet,[Merchant of Venice],The Winter's tale
112,Name the team that won the English Premier League in 2016/2017 season?,[Chelsea],West Ham,Tottenham Hotspurs,On what river does Cork stand? ,River Blackwater,[River Lee],River Nore,Genes are held in which structure of the nucleus?,Nuclear membrane,[Chromosome],Endosomes,In which century did the Industrial revolution begin?,19th Century,[18th Century],17th Century,"On a graph, the  X axis is the vertical axis. True or False?",TRUE,[FALSE],X,"From which Shakespearean play is this line: ""For a light wife doth make a heavy husband""",Henry V,[Merchant of Venice],Romeo & Juliet
113,Name the team that won the English Premier League in 2015/2016 season?,[Leicester City],Manchester City,Arsenal,In what Irish county is Boyle? ,Clare,[Roscommon],Meath,What is the protection and management of natural resources called?,Exploitation,[Conservation],Reservation,In 1532 the Inca Empire was conquered by which Spanish explorer?,Vasco Nuñez de Balboa ,[Francisco Pizzaro],Hérnan Cortés,The minus B formula is used in algebra to solve quadratic equations. True or False?,FALSE,[TRUE],X,"From which Shakespearean play is this line: ""Let me not play a woman I have a beard coming""",Othello,[A Midsummer Nights Dream],King Lear
114,Name the team that won the English Premier League in 2014/2015 season?,Tottenham Hotspurs,[Chelsea],Manchester United,In what Irish county is Borris? ,Kilkenny,[Carlow],Wicklow,What are trees which shed their leaves called?,Evergreen Trees,[Deciduous Trees],X,Who was the first man to circumnavigate the world?,Christopher Columbus ,[Ferdinand Magellan],Juan Ponce de León ,Solve 2(6 x )  +  3( - 2 x )  +  8 x y,12x   +  8xy,[6x   +  8xy],4x   +  5  + 8xy,"From which Shakespearean play is this line: ""Everyone can master a grief but he that has it""",Hamlet,[Much Ado About Nothing],The Merry Wives of Windsor
115,Name the team that won the English Premier League in 2013/2014 season?,Manchester United,[Manchester City],Chelsea,In what Irish county is Rosslare? ,Waterford,[Wexford],Cork,What are organisms which feed on dead animals and plants called?,Degraders,Decayers,[Decomposers],In 400BC which tribes invaded Ireland?,The Vikings,[The Celts],The Scots,"In algebra, is  x  squared  =  x   +   x ? True or False?",TRUE,[FALSE],X,"From which Shakespearean play is this line: ""Good gentle youth, tempt not a desperate man""",Othello,[Romeo & Juliet],The Merchant of Venice
116,To which club did Cristiano Ronaldo transfer after his time at Manchester United?,Juventus ,[Real Madrid],FC Barcelona,In what Irish county is Naas? ,Wicklow,[Kildare],Dublin ,Insulin is produced in which body part?,Kidneys,Liver,[Pancreas],In 432AD St Patrick brought what to Ireland?,[Christianity],X,X,Solve 3b  +  4a  +  6ab  + 7b,[10b  +  4a  +  6ab],X,X,"From which Shakespearean play is this line: ""As fire drives out fire, so pity pity""",Richard III,[Julius Caesar],King John
117,Name the captain of the English football team for the World Cup in 2018?,Kieran Trippier,[Harry Kane],Eric Dier,In what Irish county is Tullamore? ,Longford,[Offaly],Laois,What illness does the lack of the substance insulin cause?,Pancreas Disease,Pancreatitis,[Diabetes],"In the 12th Century, what group of people invaded Ireland?",Saxons,Vikings,[Normans],"Solve 4 x   +   x -3, when  x   =  - 2",[-13],-11,3,"From which Shakespearean play is this line: ""Fair is foul and foul is fair, hover through the fog and filthy air""",Hamlet,[Macbeth],The Tempest
118,Which female tennis player won back-to-back titles at Wimbledon in 2015 and 2016?,Venus Williams,[Serena Williams],Maria Sharapova,In what Irish county is Mullingar? ,Meath,[Westmeath],Louth,What is the process by which food is made soluble called?,Ingestion,Consumption,[Digestion],Where did the Vikings originate from?,Iceland,Central Europe,[Scandinavia],Find the value of  x  in this equation: 4 x   +  2 = 18,[4],3.5,5,"From which Shakespearean play is this line: ""Receive what cheer you may. The night is long that never finds the day""",Othello,[Macbeth],The Merchant of Venice
119,Which team won the NBA Championship in 2016?,Golden State Warriors,[Cleveland Cavaliers],Toronto Raptors,In what Irish county is Roscrea?,Offaly,[Tipperary],Roscommon,What is Deoxyribonucleic acid commonly known as?,DLT,DBB,[DNA],The Battle of the Boyne took place in what year?,1790,1691,[1690],"What is the sum of all the angles in any triangle, in degrees?",[180°],360°,270°,"From which Shakespearean play is this line: ""To be or not to be that is the question""",Macbeth,[Hamlet],Romeo & Juliet
120,What country did Alan Shearer play soccer for?,Ireland,[England],France,In what Irish county is Cobh?,[Cork],Kerry ,Clare,"What is the study of the relationship of plants, animals and the environment is known as?",Habitatology,Biology,[Ecology],How many wives did the English King Henry VIII have?,5,8,[6],"What is the value, in degrees, of a right angle?",[90°],180°,45°,Which Shakespearean play involves a lottery of caskets to win Portia's hand in marriage?,Othello,[The Merchant of Venice],King Lear
121,What country did Gareth Southgate manage at the FIFA World Cup in 2018?,Germany,[England],Croatia,In what Irish county is Killarney?,[Kerry],Cork,Limerick,What is the process of  groups of animals and plants interacting together in an area called?,Macrosystem,Microsystem,[Ecosystem],What Church was started by King Henry VIII?,Protestant Church,Presbyterian Church,[Church of England],How many degrees is there in a regular parallelogram?,[360°],180°, 240°,"From which Shakespearean play is this line: ""Pleasure and action make the hours seem short""",Romeo & Juliet,[Othello],The Winter's Tale
122,What country does soccer player Kylian Mbappé play for?,Italy,[France],Germany,In what Irish county is Lahinch?,[Clare],Cork,Kerry,"What is the oviduct, which carries the egg from the ovary to the uterus, called?",Uterine Cavity,Fallopian Canal,[Fallopian Tube],Ireland became part of the United Kingdom of Britain and Ireland in what year?,1805,1800,[1801],Up to how many degrees is an acute angle?,[Smaller than 90°],Larger than 90°,Smaller than 180°,"From which Shakespearean play is this line: ""Mend your speech a little, lest it may mar your fortunes""",Henry V,[King Lear],Julius Caesar
123,Which rugby club won the Champions Cup in 2019?,Leinster,[Saracens],Munster,In what Irish county is Athlone?,[Westmeath],Longford,Meath,What noun is used to describe all the animals of an ecosystem?,Animalia,Mammals,[Fauna],The potato famine in Ireland began in what year?,1842,1840,[1845],289 -77 + 49 + 138 =,[399],419,359,"What word is used to describe people, places, animals and things?",An Adjective,[A Noun],A Preposition
124,Which team won the men's Rugby world cup in 2003?,New Zealand ,[England],Australia,In what Irish county is Skibbereen?,[Cork],Kerry ,Clare,What noun used to describe all the plants of an ecosystem?,Greenery,Foliage,[Flora],The War of Independence in Ireland ended in what year?,1919,1920,[1921],68 + 159 - 36 =,[191],221,189,A proper noun is a type of noun used to describe what?,Places,[People],Objects
125,Which team won the men's Rugby World Cup in 2007?,Australia,[South Africa],England,In what sea does Malta lie? ,[Mediterranean Sea],Dead Sea,Adriatic Sea,By what name is the femur bone more commonly known?,Arm,Leg,[Thigh],In 1937 what was the Irish free state renamed as?,Éireann,[Éire],Irish Republic ,What is the formula  to find the area of a parallelogram?,[Base  x   perpendicular height],X,X,"I', 'me', 'you', 'he' and 'she' are known as what types of pronouns?",Reciprocal Pronouns,[Personal Pronouns],Demonstrative Pronouns
126,What sport does Tiger Woods play?,Cricket,[Golf],Soccer,Name the three sister rivers in Ireland?,"[The Nore, Suir and Barrow]",X,X,What is the symbol for calcium?,Cu,C,[Ca],In 1920 the Government of Ireland Act provided what?,Independence,[Partition],An independent Irish parliament,What type of triangle has sides of three different lengths?,[Scalene triangle],Equilateral triangle,Isosceles triangle,"Mine', 'yours', 'his', 'hers' and 'theirs' are known as what type of pronouns?",Reflexive Pronouns,[Possessive Pronouns],Relative Pronouns
127,Name the team that won the UEFA Champions League final  in the 2015/2016 season?,Barcelona,[Real Madrid],Inter Milan,What is the largest island in Greece? ,[Crete],Corfu,Zakynthos,What is the symbol for zinc?,Zi,Z,[Zn],In what year did the Civil War in Ireland take place?,1922,[1921],1920,How many lines of symmetry does an equilateral triangle have?,[3],2,1,"Who', 'whose', 'which', 'what' are known as what type of pronouns?",Indefinite Pronouns,[Relative Pronouns],Interrogative Pronouns
128,Name the team that won the UEFA Champions League final  in the 2014/2015 season?,Juventus ,[Barcelona],Bayern Munich ,What countries are in the Iberian Peninsula?,[Spain and Portugal],Norway and Sweden,Greece and Albania,What is the unit of heredity called?,Genetic ,Chromosome,[Gene ],Dáil Eireann declared independence from Britain in what year?,1916,[1919],1918,What is a specific slice of a circle known as?,[Sector],Piece,Segment,Pronouns take the place of what in a sentence?,Adverbs,[Nouns],Conjunctions
129,Who was the CEO of Amazon in 2019?,Warren Buffett,[Jeff Bezos],Bill Gates,What is the centre of a hurricane called? ,[The Eye],The Centre,The Spiral,What are animals which eat plants only called?,Omnivores,Carnivores,[Herbivores],The Ulster Volunteers formed in what year?,1912,[1913],1914,What is the name of the line that runs from the centre of a circle to its circumference?,[Radius],Diameter,Chord,"'Myself', 'yourself' and 'ourselves' are what type of pronouns?",[Reflexive pronouns],Possessive Pronouns,Reciprocal Pronouns
